Coordinate	Gene	chromosome	strand	cassette_exon_start_coor	cassette_exon_end_coor
chr12:26721285-26721342	ITPR2	chr12	-	26721285	26721342
chr1:226890034-226890133	PSEN2	chr1	+	226890034	226890133
chr1:227650955-227651076	ZNF678	chr1	+	227650955	227651076
chr10:102004365-102004483	C10orf76	chr10	-	102004365	102004483
chr1:23066059-23066071	KDM1A	chr1	+	23066059	23066071
chr1:231563464-231563629	TSNAX-DISC1	chr1	+	231563464	231563629
chr10:22318652-22318862	COMMD3	chr10	+	22318652	22318862
chr12:32705824-32705863	DNM1L	chr12	+	32705824	32705863
chr1:236249884-236249967	ERO1B	chr1	-	236249884	236249967
chr12:43798564-43798585	TWF1	chr12	-	43798564	43798585
chr12:49658441-49658594	FMNL3	chr12	-	49658441	49658594
chr12:50686212-50686353	DIP2B	chr12	+	50686212	50686353
chr1:25746667-25746783	MAN1C1	chr1	+	25746667	25746783
chr12:57288856-57288910	R3HDM2	chr12	-	57288856	57288910
chr12:57614515-57614605	ARHGEF25	chr12	+	57614515	57614605
chr12:57720098-57720263	OS9	chr12	+	57720098	57720263
chr12:62304672-62306058	USP15	chr12	+	62304672	62306058
chr12:63608615-63608675	DPY19L2	chr12	-	63608615	63608675
chr12:64495698-64495775	TBK1	chr12	+	64495698	64495775
chr12:65308528-65308655	MSRB3	chr12	+	65308528	65308655
chr12:6678662-6678710	ZNF384	chr12	-	6678662	6678710
chr12:70540857-70540957	PTPRB	chr12	-	70540857	70540957
chr1:27330984-27331137	TMEM222	chr1	+	27330984	27331137
chr12:75298870-75298966	CAPS2	chr12	-	75298870	75298966
chr12:79806165-79806333	PPP1R12A	chr12	-	79806165	79806333
chr12:79822115-79822190	PPP1R12A	chr12	-	79822115	79822190
chr1:27998283-27998351	EYA3	chr1	-	27998283	27998351
chr12:88054339-88054413	CEP290	chr12	-	88054339	88054413
chr12:88118642-88118743	CEP290	chr12	-	88118642	88118743
chr10:32273921-32274038	EPC1	chr10	-	32273921	32274038
chr12:95528806-95529002	USP44	chr12	-	95528806	95529002
chr13:102767272-102767478	TEX30	chr13	-	102767272	102767478
chr13:110625189-110625278	CARKD	chr13	+	110625189	110625278
chr13:110644064-110644182	CARS2	chr13	-	110644064	110644182
chr13:113462739-113462891	DCUN1D2	chr13	-	113462739	113462891
chr13:114238989-114239028	CDC16	chr13	+	114238989	114239028
chr13:25309246-25309282	NUP58	chr13	+	25309246	25309282
chr13:27432730-27432804	GTF3A	chr13	+	27432730	27432804
chr13:28281314-28281379	PAN3	chr13	+	28281314	28281379
chr1:33031543-33031661	AK2	chr1	-	33031543	33031661
chr13:31143791-31143923	HSPH1	chr13	-	31143791	31143923
chr13:37010551-37010655	SUPT20H	chr13	-	37010551	37010655
chr13:41362730-41362873	NAA16	chr13	+	41362730	41362873
chr10:42525539-42525660	ZNF37BP	chr10	-	42525539	42525660
chr13:51382028-51382123	INTS6	chr13	-	51382028	51382123
chr13:52661474-52661570	SUGT1	chr13	+	52661474	52661570
chr1:36294049-36294241	THRAP3	chr1	+	36294049	36294241
chr1:39459817-39459832	MACF1	chr1	+	39459817	39459832
chr13:98825871-98825940	DOCK9	chr13	-	98825871	98825940
chr13:99862990-99863092	CLYBL	chr13	+	99862990	99863092
chr14:100137739-100137802	EVL	chr14	+	100137739	100137802
chr1:41007448-41007545	CTPS1	chr1	+	41007448	41007545
chr14:102231706-102231821	MOK	chr14	-	102231706	102231821
chr14:103490951-103491107	MARK3	chr14	+	103490951	103491107
chr14:21087319-21087463	ARHGEF40	chr14	+	21087319	21087463
chr1:42205761-42205863	FOXJ3	chr1	-	42205761	42205863
chr14:23347890-23347996	SLC22A17	chr14	-	23347890	23347996
chr14:24234106-24234241	GMPR2	chr14	+	24234106	24234241
chr14:30581075-30581116	G2E3	chr14	+	30581075	30581116
chr14:35096708-35096764	PPP2R3C	chr14	-	35096708	35096764
chr14:39320927-39321056	CTAGE5	chr14	+	39320927	39321056
chr14:45096423-45096758	PRPF39	chr14	+	45096423	45096758
chr14:49628011-49628155	DNAAF2	chr14	-	49628011	49628155
chr10:49737785-49737858	OGDHL	chr10	-	49737785	49737858
chr10:49745797-49745977	OGDHL	chr10	-	49745797	49745977
chr14:52537598-52537672	TXNDC16	chr14	-	52537598	52537672
chr14:52861013-52861034	FERMT2	chr14	-	52861013	52861034
chr1:45690973-45691110	TMEM69	chr1	+	45690973	45691110
chr14:58448339-58448493	KIAA0586	chr14	+	58448339	58448493
chr14:58472198-58472279	KIAA0586	chr14	+	58472198	58472279
chr14:59476091-59476214	L3HYPDH	chr14	-	59476091	59476214
chr14:60107585-60108327	PCNX4	chr14	+	60107585	60108327
chr1:46574946-46575020	MKNK1	chr1	-	46574946	46575020
chr14:68878457-68878523	ACTN1	chr14	-	68878457	68878523
chr14:69769510-69770042	SRSF5	chr14	+	69769510	69770042
chr14:70342657-70342729	COX16	chr14	-	70342657	70342729
chr14:74889896-74889952	DLST	chr14	+	74889896	74889952
chr14:74918512-74918605	RPS6KL1	chr14	-	74918512	74918605
chr14:75121118-75121174	NEK9	chr14	-	75121118	75121174
chr10:5880297-5880376	ANKRD16	chr10	-	5880297	5880376
chr14:77244348-77244455	TMEM63C	chr14	+	77244348	77244455
chr14:78300679-78300691	NRXN3	chr14	+	78300679	78300691
chr14:88393392-88393488	SPATA7	chr14	+	88393392	88393488
chr14:88841424-88841514	TTC8	chr14	+	88841424	88841514
chr14:90919279-90919466	RPS6KA5	chr14	-	90919279	90919466
chr14:91976107-91976189	TRIP11	chr14	-	91976107	91976189
chr14:95140658-95141748	DICER1	chr14	-	95140658	95141748
chr14:96292028-96292098	ATG2B	chr14	-	96292028	96292098
chr14:96856129-96856250	VRK1	chr14	+	96856129	96856250
chr1:51740142-51740211	OSBPL9	chr1	+	51740142	51740211
chr15:22566304-22566362	HERC2P2	chr15	+	22566304	22566362
chr15:25079825-25080079	NONE	chr15	+	25079825	25080079
chr15:25196228-25196305	NONE	chr15	+	25196228	25196305
chr15:34177820-34177999	KATNBL1	chr15	-	34177820	34177999
chr10:103100751-103100943	NT5C2	chr10	-	103100751	103100943
chr10:103105357-103105381	NT5C2	chr10	-	103105357	103105381
chr15:41843125-41843223	PLA2G4B	chr15	+	41843125	41843223
chr15:42344427-42344522	GANC	chr15	+	42344427	42344522
chr15:42560781-42560870	HAUS2	chr15	+	42560781	42560870
chr15:48151099-48151171	MYEF2	chr15	-	48151099	48151171
chr15:49225204-49225349	GALK2	chr15	+	49225204	49225349
chr15:52381022-52382777	MYO5A	chr15	-	52381022	52382777
chr15:58643885-58643978	ADAM10	chr15	-	58643885	58643978
chr15:61884127-61884269	VPS13C	chr15	-	61884127	61884269
chr15:61946306-61946410	VPS13C	chr15	-	61946306	61946410
chr15:64081101-64081151	FAM96A	chr15	-	64081101	64081151
chr15:65065216-65065273	RASL12	chr15	-	65065216	65065273
chr15:65156843-65156932	CLPX	chr15	-	65156843	65156932
chr15:67546178-67546585	MAP2K5	chr15	+	67546178	67546585
chr15:72715290-72715402	BBS4	chr15	+	72715290	72715402
chr10:68906225-68906337	DDX50	chr10	+	68906225	68906337
chr15:91016962-91017024	VPS33B	chr15	-	91016962	91017024
chr10:69919664-69919727	COL13A1	chr10	+	69919664	69919727
chr10:69940987-69941023	COL13A1	chr10	+	69940987	69941023
chr1:6106394-6106509	CHD5	chr1	-	6106394	6106509
chr16:11765052-11765153	ZC3H7A	chr16	-	11765052	11765153
chr16:11769030-11769095	ZC3H7A	chr16	-	11769030	11769095
chr16:1786756-1786955	NUBP2	chr16	+	1786756	1786955
chr16:31093311-31093421	VKORC1	chr16	-	31093311	31093421
chr16:3533098-3533155	CLUAP1	chr16	+	3533098	3533155
chr10:73235192-73235318	FAM149B1	chr10	+	73235192	73235318
chr16:53638309-53638411	RPGRIP1L	chr16	-	53638309	53638411
chr16:646471-646608	FAM195A	chr16	+	646471	646608
chr10:73746629-73746716	SEC24C	chr10	+	73746629	73746716
chr16:69121052-69121170	CHTF8	chr16	-	69121052	69121170
chr16:70317495-70317588	DDX19B	chr16	+	70317495	70317588
chr16:75618585-75618640	ADAT1	chr16	-	75618585	75618640
chr17:16737537-16737675	CCDC144A	chr17	+	16737537	16737675
chr17:17216379-17216503	FLCN	chr17	-	17216379	17216503
chr17:17236475-17236683	FLCN	chr17	-	17236475	17236683
chr17:18308350-18308424	TOP3A	chr17	-	18308350	18308424
chr17:31884423-31884505	UTP6	chr17	-	31884423	31884505
chr17:42587833-42587864	FAM134C	chr17	-	42587833	42587864
chr17:44212343-44212454	UBTF	chr17	-	44212343	44212454
chr17:48057031-48057121	NFE2L1	chr17	+	48057031	48057121
chr17:4807983-4808114	PLD2	chr17	+	4807983	4808114
chr17:50088224-50088366	ITGA3	chr17	+	50088224	50088366
chr17:51067931-51068012	SPAG9	chr17	-	51067931	51068012
chr17:5450806-5450934	DHX33	chr17	-	5450806	5450934
chr17:58305832-58305865	BZRAP1	chr17	-	58305832	58305865
chr17:6611918-6612148	KIAA0753	chr17	-	6611918	6612148
chr17:67737070-67737145	NOL11	chr17	+	67737070	67737145
chr17:69223627-69223709	ABCA10	chr17	-	69223627	69223709
chr17:73205552-73205680	COG1	chr17	+	73205552	73205680
chr1:7749770-7749791	CAMTA1	chr1	+	7749770	7749791
chr17:75935631-75935673	FBF1	chr17	-	75935631	75935673
chr17:78097744-78097861	TNRC6C	chr17	+	78097744	78097861
chr1:77969021-77969084	FUBP1	chr1	-	77969021	77969084
chr10:94562811-94562876	HELLS	chr10	+	94562811	94562876
chr17:81123193-81123343	AATK	chr17	-	81123193	81123343
chr17:82019640-82019694	STRA13	chr17	-	82019640	82019694
chr18:2666156-2666232	SMCHD1	chr18	+	2666156	2666232
chr18:47930360-47930446	SMAD2	chr18	-	47930360	47930446
chr18:50801348-50801504	MRO	chr18	-	50801348	50801504
chr1:852670-852766	LINC01128	chr1	+	852670	852766
chr1:85258934-85259061	C1orf52	chr1	-	85258934	85259061
chr10:97752856-97752877	ZFYVE27	chr10	+	97752856	97752877
chr18:58954233-58954334	ZNF532	chr18	+	58954233	58954334
chr18:63407431-63407499	VPS4B	chr18	-	63407431	63407499
chr18:70127501-70128546	RTTN	chr18	-	70127501	70128546
chr18:79728906-79729069	CTDP1	chr18	+	79728906	79729069
chr1:88961166-88961287	CCBL2	chr1	-	88961166	88961287
chr19:11116858-11116998	LDLR	chr19	+	11116858	11116998
chr19:12074360-12074421	ZNF844	chr19	+	12074360	12074421
chr19:14482688-14483006	GIPC1	chr19	-	14482688	14483006
chr19:17616407-17616464	UNC13A	chr19	-	17616407	17616464
chr19:1975108-1976114	CSNK1G2	chr19	+	1975108	1976114
chr1:92286489-92286592	GLMN	chr1	-	92286489	92286592
chr1:93522081-93522135	FNBP1L	chr1	+	93522081	93522135
chr19:35013255-35013368	GRAMD1A	chr19	+	35013255	35013368
chr19:36694801-36694876	ZNF567	chr19	+	36694801	36694876
chr19:37165594-37165696	ZNF585A	chr19	-	37165594	37165696
chr19:44394519-44394540	ZNF285	chr19	-	44394519	44394540
chr19:48133980-48134066	LIG1	chr19	-	48133980	48134066
chr19:49700683-49700855	CPT1C	chr19	+	49700683	49700855
chr10:110894090-110894198	PDCD4	chr10	+	110894090	110894198
chr1:110345538-110345649	RBM15	chr1	+	110345538	110345649
chr20:18495837-18495880	RBBP9	chr20	-	18495837	18495880
chr20:20637362-20637501	RALGAPA2	chr20	-	20637362	20637501
chr20:2975214-2975241	PTPRA	chr20	+	2975214	2975241
chr1:110669769-110669829	KCNA3	chr1	-	110669769	110669829
chr20:35740524-35740597	RBM39	chr20	-	35740524	35740597
chr11:107549752-107549823	ALKBH8	chr11	-	107549752	107549823
chr1:11077364-11077443	EXOSC10	chr1	-	11077364	11077443
chr20:47220257-47220324	ZMYND8	chr20	-	47220257	47220324
chr20:58353272-58353344	RAB22A	chr20	+	58353272	58353344
chr20:62154280-62154465	SS18L1	chr20	+	62154280	62154465
chr2:10408561-10408734	HPCAL1	chr2	+	10408561	10408734
chr2:108680968-108681160	LIMS1	chr2	+	108680968	108681160
chr2:111868022-111868096	ANAPC1	chr2	-	111868022	111868096
chr2:111873612-111873664	ANAPC1	chr2	-	111873612	111873664
chr2:11457178-11457233	E2F6	chr2	-	11457178	11457233
chr2:119321153-119321204	C2orf76	chr2	-	119321153	119321204
chr1:111173113-111173258	CEPT1	chr1	+	111173113	111173258
chr2:121382207-121382324	CLASP1	chr2	-	121382207	121382324
chr2:131091808-131091963	FAM168B	chr2	-	131091808	131091963
chr11:113221295-113221325	NCAM1	chr11	+	113221295	113221325
chr11:113272932-113273748	NCAM1	chr11	+	113272932	113273748
chr2:151469053-151469107	RIF1	chr2	+	151469053	151469107
chr2:152714549-152714629	PRPF40A	chr2	-	152714549	152714629
chr2:159764625-159764674	7-Mar	chr2	+	159764625	159764674
chr2:171447385-171447737	DCAF17	chr2	+	171447385	171447737
chr2:172568740-172568817	PDK1	chr2	+	172568740	172568817
chr2:172960759-172960813	RAPGEF4	chr2	+	172960759	172960813
chr11:116867945-116868089	SIK3	chr11	-	116867945	116868089
chr2:190250259-190250386	HIBCH	chr2	-	190250259	190250386
chr2:190260399-190260511	HIBCH	chr2	-	190260399	190260511
chr11:117363428-117363506	CEP164	chr11	+	117363428	117363506
chr2:20278582-20278819	PUM2	chr2	-	20278582	20278819
chr2:209773093-209773142	UNC80	chr2	+	209773093	209773142
chr2:210031420-210031546	KANSL1L	chr2	-	210031420	210031546
chr11:118533419-118533551	TMEM25	chr11	+	118533419	118533551
chr2:218651700-218652300	ZNF142	chr2	-	218651700	218652300
chr2:219558183-219558459	OBSL1	chr2	-	219558183	219558459
chr22:19976705-19976723	ARVCF	chr22	-	19976705	19976723
chr2:222646800-222646996	FARSB	chr2	-	222646800	222646996
chr22:25644591-25644665	ADRBK2	chr22	+	25644591	25644665
chr11:119310348-119310466	MCAM	chr11	-	119310348	119310466
chr22:30023456-30023483	MTMR3	chr22	+	30023456	30023483
chr22:31195468-31195581	RNF185	chr22	+	31195468	31195581
chr22:31450288-31450360	EIF4ENIF1	chr22	-	31450288	31450360
chr2:235930764-235930923	AGAP1	chr2	+	235930764	235930923
chr22:40270121-40270280	TNRC6B	chr22	+	40270121	40270280
chr22:40281118-40281289	TNRC6B	chr22	+	40281118	40281289
chr22:40794513-40794580	SLC25A17	chr22	-	40794513	40794580
chr2:24284762-24284843	ITSN2	chr2	-	24284762	24284843
chr2:32590805-32590978	BIRC6	chr2	+	32590805	32590978
chr2:38989269-38989314	SOS1	chr2	-	38989269	38989314
chr2:39035389-39035500	SOS1	chr2	-	39035389	39035500
chr2:40170280-40170349	SLC8A1	chr2	-	40170280	40170349
chr2:53808298-53808460	ERLEC1	chr2	+	53808298	53808460
chr2:53913870-53913931	PSME4	chr2	-	53913870	53913931
chr2:60794709-60794775	PAPOLG	chr2	+	60794709	60794775
chr2:60920573-60920642	REL	chr2	+	60920573	60920642
chr2:61314000-61314153	USP34	chr2	-	61314000	61314153
chr2:74363613-74363628	DCTN1	chr2	-	74363613	74363628
chr2:75691976-75692100	GCFC2	chr2	-	75691976	75692100
chr2:75702198-75702423	GCFC2	chr2	-	75702198	75702423
chr2:85560814-85560985	GGCX	chr2	-	85560814	85560985
chr2:95852125-95852196	ANKRD36C	chr2	-	95852125	95852196
chr2:95938828-95938901	ANKRD36C	chr2	-	95938828	95938901
chr2:96831968-96832068	CNNM3	chr2	+	96831968	96832068
chr2:97142762-97142835	ANKRD36	chr2	+	97142762	97142835
chr2:97844144-97844261	TMEM131	chr2	-	97844144	97844261
chr3:101728835-101728937	CEP97	chr3	+	101728835	101728937
chr3:105681478-105681610	CBLB	chr3	-	105681478	105681610
chr3:113010642-113010704	C3orf17	chr3	-	113010642	113010704
chr3:113409105-113409322	CFAP44	chr3	-	113409105	113409322
chr3:120348222-120348314	LRRC58	chr3	-	120348222	120348314
chr3:121808915-121809009	IQCB1	chr3	-	121808915	121809009
chr3:121828469-121828632	IQCB1	chr3	-	121828469	121828632
chr3:136327154-136327255	PCCB	chr3	+	136327154	136327255
chr3:138476817-138476891	ESYT3	chr3	+	138476817	138476891
chr3:141902135-141902227	ATP1B3	chr3	+	141902135	141902227
chr3:142376696-142376795	XRN1	chr3	-	142376696	142376795
chr3:146077861-146077924	PLOD2	chr3	-	146077861	146077924
chr3:146528613-146528831	PLSCR1	chr3	-	146528613	146528831
chr3:15004556-15004613	NR2C2	chr3	+	15004556	15004613
chr3:15245525-15245671	CAPN7	chr3	+	15245525	15245671
chr3:161103112-161103205	B3GALNT1	chr3	-	161103112	161103205
chr3:169783476-169783560	MYNN	chr3	+	169783476	169783560
chr1:113701552-113701821	PHTF1	chr1	-	113701552	113701821
chr3:181715184-181715292	SOX2-OT	chr3	+	181715184	181715292
chr1:113899124-113899352	AP4B1	chr1	-	113899124	113899352
chr3:184386491-184386755	CHRD	chr3	+	184386491	184386755
chr3:193626091-193626202	OPA1	chr3	+	193626091	193626202
chr1:114397939-114397990	TRIM33	chr1	-	114397939	114397990
chr3:195963299-195963421	SDHAP1	chr3	-	195963299	195963421
chr3:26713224-26713779	NONE	chr3	+	26713224	26713779
chr3:32530460-32530520	DYNC1LI1	chr3	-	32530460	32530520
chr3:33577201-33577264	CLASP2	chr3	-	33577201	33577264
chr1:114780109-114780215	SIKE1	chr1	-	114780109	114780215
chr3:38234564-38234760	OXSR1	chr3	+	38234564	38234760
chr3:43090487-43090609	POMGNT2	chr3	-	43090487	43090609
chr3:45827355-45827459	LZTFL1	chr3	-	45827355	45827459
chr3:47404651-47404779	PTPN23	chr3	+	47404651	47404779
chr3:48450492-48450575	ATRIP	chr3	+	48450492	48450575
chr3:49278813-49278902	USP4	chr3	-	49278813	49278902
chr3:5210174-5210248	EDEM1	chr3	+	5210174	5210248
chr3:52696233-52696318	GLT8D1	chr3	-	52696233	52696318
chr3:53125908-53125994	RFT1	chr3	-	53125908	53125994
chr3:53718681-53718741	CACNA1D	chr3	+	53718681	53718741
chr3:53878356-53878467	ACTR8	chr3	-	53878356	53878467
chr3:57634557-57634622	DENND6A	chr3	-	57634557	57634622
chr3:62481722-62481869	CADPS	chr3	-	62481722	62481869
chr3:62493644-62493665	CADPS	chr3	-	62493644	62493665
chr3:63997620-63997687	ATXN7	chr3	+	63997620	63997687
chr3:66236543-66236700	SLC25A26	chr3	+	66236543	66236700
chr3:97791770-97791826	ARL6	chr3	+	97791770	97791826
chr3:98773919-98773983	ST3GAL6	chr3	+	98773919	98773983
chr4:101029165-101029195	PPP3CA	chr4	-	101029165	101029195
chr4:102658858-102659028	MANBA	chr4	-	102658858	102659028
chr4:109718682-109718759	PLA2G12A	chr4	-	109718682	109718759
chr4:113323758-113323794	ANK2	chr4	+	113323758	113323794
chr4:116949629-116949678	NONE	chr4	-	116949629	116949678
chr4:119214069-119214222	USP53	chr4	+	119214069	119214222
chr4:119457970-119458170	LOC645513	chr4	+	119457970	119458170
chr4:122275971-122276022	KIAA1109	chr4	+	122275971	122276022
chr4:128092776-128093031	LARP1B	chr4	+	128092776	128093031
chr4:13588721-13588792	BOD1L1	chr4	-	13588721	13588792
chr4:138182296-138182393	SLC7A11	chr4	-	138182296	138182393
chr4:138185120-138185244	SLC7A11	chr4	-	138185120	138185244
chr4:140401984-140402066	CLGN	chr4	-	140401984	140402066
chr4:145110967-145111064	ABCE1	chr4	+	145110967	145111064
chr4:15008337-15008427	CPEB2	chr4	+	15008337	15008427
chr4:158235437-158235505	TMEM144	chr4	+	158235437	158235505
chr4:158833800-158833890	FNIP2	chr4	+	158833800	158833890
chr4:163145781-163145864	NAF1	chr4	-	163145781	163145864
chr4:168925232-168925278	PALLD	chr4	+	168925232	168925278
chr4:169561686-169561737	NEK1	chr4	-	169561686	169561737
chr4:176115795-176115979	WDR17	chr4	+	176115795	176115979
chr4:27007982-27008006	STIM2	chr4	+	27007982	27008006
chr4:44680440-44680552	GUF1	chr4	+	44680440	44680552
chr4:44714595-44714659	GNPDA2	chr4	-	44714595	44714659
chr4:55888887-55888932	EXOC1	chr4	+	55888887	55888932
chr4:56298213-56298349	KIAA1211	chr4	+	56298213	56298349
chr4:6866191-6866263	KIAA0232	chr4	+	6866191	6866263
chr4:75591818-75592269	CDKL2	chr4	-	75591818	75592269
chr4:76104596-76104629	ART3	chr4	+	76104596	76104629
chr4:81457498-81457621	RASGEF1B	chr4	-	81457498	81457621
chr4:82425562-82425667	HNRNPDL	chr4	-	82425562	82425667
chr4:86753008-86753065	PTPN13	chr4	+	86753008	86753065
chr4:87445321-87445507	NUDT9	chr4	+	87445321	87445507
chr4:88767982-88768059	FAM13A	chr4	-	88767982	88768059
chr4:94584985-94585003	PDLIM5	chr4	+	94584985	94585003
chr5:119165182-119165280	DMXL1	chr5	+	119165182	119165280
chr5:126466293-126466336	GRAMD3	chr5	+	126466293	126466336
chr5:128138823-128138908	SLC12A2	chr5	+	128138823	128138908
chr5:131469800-131469815	RAPGEF6	chr5	-	131469800	131469815
chr5:134388976-134389052	UBE2B	chr5	+	134388976	134389052
chr5:137946227-137946311	FAM13B	chr5	-	137946227	137946311
chr10:119161054-119161081	SFXN4	chr10	-	119161054	119161081
chr5:141625684-141626071	HDAC3	chr5	-	141625684	141626071
chr5:146510066-146510160	TCERG1	chr5	+	146510066	146510160
chr5:149517793-149517877	CSNK1A1	chr5	-	149517793	149517877
chr5:150372005-150372236	TCOF1	chr5	+	150372005	150372236
chr11:31801870-31801912	PAX6	chr11	-	31801870	31801912
chr5:160254128-160254335	CCNJL	chr5	-	160254128	160254335
chr5:162151729-162151753	GABRG2	chr5	+	162151729	162151753
chr5:178256865-178256928	COL23A1	chr5	-	178256865	178256928
chr5:180328276-180328338	GFPT2	chr5	-	180328276	180328338
chr5:32100861-32100963	PDZD2	chr5	+	32100861	32100963
chr11:34118179-34118294	NAT10	chr11	+	34118179	34118294
chr5:38949355-38949427	RICTOR	chr5	-	38949355	38949427
chr5:39074110-39074158	RICTOR	chr5	-	39074110	39074158
chr5:39388304-39388367	DAB2	chr5	-	39388304	39388367
chr5:53604723-53604895	NDUFS4	chr5	+	53604723	53604895
chr5:62392170-62392234	DIMT1	chr5	-	62392170	62392234
chr5:65650809-65650882	TRAPPC13	chr5	+	65650809	65650882
chr5:6622015-6622100	NSUN2	chr5	-	6622015	6622100
chr5:73555487-73555585	ANKRA2	chr5	-	73555487	73555585
chr5:79747090-79747113	CMYA5	chr5	+	79747090	79747113
chr5:87380508-87380595	RASA1	chr5	+	87380508	87380595
chr5:87404843-87405007	CCNH	chr5	-	87404843	87405007
chr5:94582432-94582583	KIAA0825	chr5	-	94582432	94582583
chr5:95520715-95520818	TTC37	chr5	-	95520715	95520818
chr5:98869013-98869277	CHD1	chr5	-	98869013	98869277
chr10:119781060-119781242	INPP5F	chr10	+	119781060	119781242
chr6:10910823-10910869	SYCP2L	chr6	+	10910823	10910869
chr6:111587946-111588142	TRAF3IP2-AS1	chr6	+	111587946	111588142
chr11:43892040-43892129	ALKBH3	chr11	+	43892040	43892129
chr6:143468121-143468165	PEX3	chr6	+	143468121	143468165
chr6:143760400-143760640	PHACTR2	chr6	+	143760400	143760640
chr6:167013507-167013567	FGFR1OP	chr6	+	167013507	167013567
chr6:34836155-34836348	UHRF1BP1	chr6	+	34836155	34836348
chr6:36894503-36894603	C6orf89	chr6	+	36894503	36894603
chr6:41068840-41070134	OARD1	chr6	-	41068840	41070134
chr6:42688986-42689143	UBR2	chr6	+	42688986	42689143
chr6:52265234-52265385	MCM3	chr6	-	52265234	52265385
chr6:52987356-52987408	GSTA4	chr6	-	52987356	52987408
chr6:56464684-56464756	DST	chr6	-	56464684	56464756
chr6:69338915-69339014	ADGRB3	chr6	+	69338915	69339014
chr6:73644406-73644603	SLC17A5	chr6	-	73644406	73644603
chr6:80128598-80128842	BCKDHB	chr6	+	80128598	80128842
chr6:83096730-83096823	DOPEY1	chr6	+	83096730	83096823
chr6:83121929-83122050	DOPEY1	chr6	+	83121929	83122050
chr6:83926135-83926331	CYB5R4	chr6	+	83926135	83926331
chr6:87594526-87594613	ORC3	chr6	+	87594526	87594613
chr6:89621921-89622026	ANKRD6	chr6	+	89621921	89622026
chr1:147259836-147259918	CHD1L	chr1	+	147259836	147259918
chr11:47292542-47292596	MADD	chr11	+	47292542	47292596
chr7:103307595-103307708	PMPCB	chr7	+	103307595	103307708
chr7:105038125-105038199	KMT2E	chr7	+	105038125	105038199
chr7:106012859-106013031	CDHR3	chr7	+	106012859	106013031
chr7:108521475-108521521	PNPLA8	chr7	-	108521475	108521521
chr7:112295868-112295957	ZNF277	chr7	+	112295868	112295957
chr7:117746012-117746099	CTTNBP2	chr7	-	117746012	117746099
chr11:47569699-47569891	PTPMT1	chr11	+	47569699	47569891
chr7:124829253-124829342	POT1	chr7	-	124829253	124829342
chr7:128878557-128878722	KCP	chr7	-	128878557	128878722
chr7:137689893-137690002	DGKI	chr7	-	137689893	137690002
chr7:141633900-141633980	AGK	chr7	+	141633900	141633980
chr7:143300379-143300440	CASP2	chr7	+	143300379	143300440
chr7:14753927-14753948	DGKB	chr7	-	14753927	14753948
chr1:148137710-148137809	NBPF11	chr1	-	148137710	148137809
chr7:151352092-151352193	NUB1	chr7	+	151352092	151352193
chr7:152168566-152168589	KMT2C	chr7	-	152168566	152168589
chr10:120890715-120890887	WDR11	chr10	+	120890715	120890887
chr7:157169047-157169122	UBE3C	chr7	+	157169047	157169122
chr7:23195838-23195915	NUPL2	chr7	+	23195838	23195915
chr7:32918310-32918372	RP9P	chr7	-	32918310	32918372
chr7:35132309-35132369	DPY19L2P1	chr7	-	35132309	35132369
